-44,-90,90,1064
-44,-89,113,1067
-45,-80,8,1058
-44,-73,7,1062
-43,-65,31,1082
-45,-57,438,1051
-43,-49,1096,1095
-44,-41,167,1074
-43,-33,122,1089
-44,-25,1070,1069
-41,-17,1128,1127
-43,-9,1097,1096
-42,-1,1115,1114
-41,8,1127,1126
-42,16,1113,1112
-41,24,1129,1128
-43,32,1095,1094
-38,40,59,1202
-43,48,1094,1093
-40,56,722,1146
-40,64,1161,1160
-39,72,1173,1172
-42,80,1109,1108
-41,88,1135,1134
-39,-90,126,1173
-37,-89,36,1223
-37,-80,76,1234
-37,-73,90,1244
-36,-65,1270,1269
-36,-57,1259,1258
-37,-49,402,1222
-36,-41,1269,1268
-37,-33,26,1244
-35,-25,1305,1304
-35,-17,1292,1291
-34,-9,1333,1332
-35,-1,367,1287
-34,8,77,1328
-35,16,1280,1279
-32,24,1399,1398
-33,32,1375,1374
-35,40,1283,1282
-32,48,1409,1408
-35,56,864,1301
-32,64,1395,1394
-33,72,1356,1355
-35,80,1297,1296
-33,88,1356,1355
-29,-90,266,1522
-29,-89,223,1517
-29,-80,1547,1546
-29,-73,1528,1527
-30,-65,1479,1478
-28,-57,1572,1571
-28,-49,1553,1552
-27,-41,1604,1603
-28,-33,1588,1587
-27,-25,1608,1607
-28,-17,1565,1564
-26,-9,1680,1679
-26,-1,1670,1669
-25,8,1755,1754
-26,16,1710,1709
-27,24,276,1630
-24,32,803,1791
-25,40,1761,1760
-25,48,1721,1720
-26,56,1698,1697
-25,64,1752,1751
-24,72,1395,1837
-26,80,53,1685
-25,88,878,1763
-23,-90,64,1847
-22,-89,1962,1961
-22,-80,59,1968
-22,-73,696,1971
-22,-65,1980,1979
-21,-57,2059,2058
-22,-49,1951,1950
-20,-41,637,2154
-21,-33,2061,2060
-20,-25,2170,2169
-20,-17,2121,2120
-19,-9,70,2199
-20,-1,2109,2108
-18,8,257,2383
-19,16,1692,2261
-18,24,1280,2383
-18,32,2341,2340
-20,40,2193,2192
-17,48,73,2494
-18,56,2340,2339
-17,64,2513,2512
-18,72,1073,2391
-19,80,1019,2282
-18,88,877,2356
-15,-90,838,2743
-14,-89,2909,2908
-14,-80,3005,3004
-14,-73,2900,2899
-13,-65,3322,3321
-14,-57,2975,2974
-13,-49,3121,3120
-13,-41,3181,3180
-12,-33,3483,3482
-12,-25,3395,3394
-13,-17,3240,3239
-12,-9,3516,3515
-13,-1,233,3162
-10,8,1229,3936
-12,16,204,3465
-11,24,1262,3921
-13,32,1115,3237
-8,40,5167,5166
-11,48,141,3845
-10,56,4180,4179
