-41,-45,-90,829,828
-43,-45,-89,798,797
-44,-45,-80,789,788
-44,-45,-73,789,788
-43,-45,-65,798,797
-42,-45,-57,315,809
-44,-45,-49,791,790
-45,-45,-41,777,776
-45,-45,-33,775,774
-44,-45,-25,783,782
-42,-45,-17,817,816
-42,-45,-9,719,809
-43,-45,-1,719,800
-44,-45,8,792,791
-44,-45,16,789,788
-44,-45,24,788,787
-43,-45,32,51,796
-40,-45,40,839,838
-41,-45,48,832,831
-43,-45,56,799,798
-43,-45,64,804,803
-43,-45,72,802,801
-43,-45,80,801,800
-43,-45,88,804,803
-34,-41,-90,966,965
-36,-41,-89,924,923
-36,-41,-80,916,915
-36,-41,-73,923,922
-36,-41,-65,917,916
-36,-41,-57,244,916
-37,-41,-49,481,900
-37,-41,-41,358,903
-37,-41,-33,910,909
-34,-41,-25,960,959
-36,-41,-17,935,934
-37,-41,-9,908,907
-36,-41,-1,919,918
-36,-41,8,922,921
-36,-41,16,384,924
-35,-41,24,395,944
-33,-41,32,988,987
-34,-41,40,968,967
-36,-41,48,933,932
-36,-41,56,927,926
-37,-41,64,909,908
-35,-41,72,957,956
-35,-41,80,483,953
-36,-41,88,370,922
-27,-33,-90,1178,1177
-28,-33,-89,1159,1158
-28,-33,-80,703,1137
-28,-33,-73,1145,1144
-28,-33,-65,1152,1151
-29,-33,-57,1117,1116
-29,-33,-49,56,1133
-28,-33,-41,813,1162
-28,-33,-33,321,1148
-28,-33,-25,469,1147
-29,-33,-17,1114,1113
-29,-33,-9,272,1127
-28,-33,-1,147,1148
-27,-33,8,1175,1174
-26,-33,16,1252,1251
-27,-33,24,1179,1178
-27,-33,32,1016,1201
-29,-33,40,1126,1125
-28,-33,48,1136,1135
-26,-33,56,1244,1243
-25,-33,64,1293,1292
-25,-33,72,1280,1279
-26,-33,80,1227,1226
-27,-33,88,1195,1194
-23,-25,-90,1369,1368
-21,-25,-89,1514,1513
-21,-25,-80,1487,1486
-21,-25,-73,1501,1500
-21,-25,-65,1482,1481
-21,-25,-57,1534,1533
-20,-25,-49,1061,1542
-21,-25,-41,560,1473
-22,-25,-33,1421,1420
-22,-25,-25,310,1409
-21,-25,-17,548,1468
-21,-25,-9,590,1528
-20,-25,-1,1564,1563
-21,-25,8,1502,1501
-22,-25,16,1445,1444
-22,-25,24,1440,1439
-20,-25,32,994,1573
-18,-25,40,1691,1690
-18,-25,48,1740,1739
-19,-25,56,1651,1650
-20,-25,64,1551,1550
-20,-25,72,1545,1544
-20,-25,80,1554,1553
-23,-25,88,1391,1390
-13,-17,-90,1588,2403
-13,-17,-89,63,2293
-15,-17,-80,2118,2117
-14,-17,-73,2252,2251
-14,-17,-65,2252,2251
-13,-17,-57,1737,2285
-14,-17,-49,104,2178
-14,-17,-41,11,2210
-13,-17,-33,2358,2357
-12,-17,-25,2536,2535
-13,-17,-17,2349,2348
-14,-17,-9,2261,2260
-14,-17,-1,2180,2179
-13,-17,8,2279,2278
-13,-17,16,2121,2444
