-41,-45,-90,170,824
-44,-45,-89,120,790
-44,-45,-80,7,788
-44,-45,-73,14,788
-44,-45,-65,100,784
-45,-45,-57,469,768
-45,-45,-49,771,770
-44,-45,-41,781,780
-42,-45,-33,807,806
-43,-45,-25,796,795
-45,-45,-17,774,773
-44,-45,-9,71,789
-42,-45,-1,813,812
-41,-45,8,830,829
-43,-45,16,799,798
-43,-45,24,241,798
-41,-45,32,829,831
-44,-45,40,782,781
-41,-45,48,838,837
-41,-45,56,838,837
-43,-45,64,803,802
-43,-45,72,61,805
-43,-45,80,749,798
-42,-45,88,63,812
-35,-41,-90,941,957
-37,-41,-89,914,913
-37,-41,-80,913,912
-37,-41,-73,911,910
-37,-41,-65,911,910
-37,-41,-57,910,909
-37,-41,-49,904,903
-37,-41,-41,901,900
-36,-41,-33,915,914
-36,-41,-25,760,921
-37,-41,-17,503,911
-37,-41,-9,902,901
-37,-41,-1,899,898
-34,-41,8,964,963
-33,-41,16,985,984
-35,-41,24,958,957
-35,-41,32,939,938
-35,-41,40,947,946
-37,-41,48,13,911
-35,-41,56,272,947
-32,-41,64,1017,1016
-33,-41,72,998,997
-34,-41,80,965,964
-34,-41,88,968,967
-28,-33,-90,1166,1165
-29,-33,-89,1134,1133
-29,-33,-80,1134,1133
-29,-33,-73,1134,1133
-29,-33,-65,1127,1126
-29,-33,-57,1124,1123
-29,-33,-49,1107,1106
-29,-33,-41,1115,1114
-29,-33,-33,137,1116
-28,-33,-25,1149,1148
-28,-33,-17,1149,1148
-28,-33,-9,450,1141
-29,-33,-1,398,1118
-29,-33,8,664,1124
-28,-33,16,1154,1153
-26,-33,24,1244,1243
-27,-33,32,1199,1198
-28,-33,40,1161,1160
-29,-33,48,1134,1133
-26,-33,56,1220,1219
-27,-33,64,1207,1206
-24,-33,72,1317,1316
-25,-33,80,1271,1270
-26,-33,88,1224,1223
-23,-25,-90,1162,1380
-22,-25,-89,1348,1462
-22,-25,-80,1469,1468
-22,-25,-73,1469,1468
-28,-25,-65,1141,1140
-21,-25,-57,1500,1499
-21,-25,-49,1436,1473
